,condition,milage,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission,6,7
23,Used,20442,2014,Porsche,911,Turbo,S,,White,Automatic,,
24,Used,3847,2018,Porsche,911,GT3,,,White,Automatic,,
25,Porsche Certified,22752,2019,Porsche,911,Carrera,,,White,Automatic,,
26,Porsche Certified,690,2016,Porsche,911,GT3,RS,,White,Automatic,,
27,Used,17532,2015,Porsche,911,GT3,,,White,Automatic,,
28,Porsche Certified,6003,2019,Porsche,911,Carrera,GTS,,White,Automatic,,
29,Used,37226,2018,Porsche,911,GT3,,,White,Automatic,,
30,Porsche Certified,7080,2019,Porsche,911,Carrera,,,White,Automatic,,
31,Used,22216,2015,Porsche,911,GT3,,,White,Automatic,,
32,Used,28779,2015,Porsche,911,Turbo,S,,White,Automatic,,
33,Used,26775,2013,Porsche,911,Carrera,S,,White,Automatic,,
34,Used,7460,2018,Porsche,911,Turbo,,,White,Automatic,,
35,Used,40700,2017,Porsche,911,Carrera,,,White,Automatic,,
36,Used,87000,2008,Porsche,911,Carrera,,,White,Automatic,,
37,Porsche Certified,5574,2017,Porsche,911,Carrera,,,White,Automatic,,
38,Used,1806,2019,Porsche,911,Carrera,S,,White,Automatic,,
39,Porsche Certified,21313,2017,Porsche,911,Carrera,,,White,Automatic,,
40,Used,22142,2015,Porsche,911,Turbo,,,White,Automatic,,
41,Porsche Certified,8765,2017,Porsche,911,Carrera,,,White,Automatic,,
42,Used,36420,2011,Porsche,911,Turbo,,,White,Automatic,,
43,Used,23649,2017,Porsche,911,Carrera,,,White,Automatic,,
44,Used,4997,2018,Porsche,911,GT3,,,White,Automatic,,
45,Used,27801,2016,Porsche,911,Turbo,,,White,Automatic,,
46,Used,1350,2019,Porsche,911,Turbo,S,,White,Automatic,,
47,Used,7960,2018,Porsche,911,Turbo,,,White,Automatic,,
48,Used,25468,2009,Porsche,911,Turbo,Cabriolet,,White,Automatic,,
49,Used,18370,2015,Porsche,911,Turbo,S,,White,Automatic,,
50,Porsche Certified,14765,2017,Porsche,911,Turbo,,,White,Automatic,,
51,Used,16119,2017,Porsche,911,Turbo,S,,White,Automatic,,
52,Used,24114,2014,Porsche,911,Turbo,S,,White,Automatic,,
53,Used,9031,2014,Porsche,911,Carrera,S,,White,Automatic,,
54,Used,17197,2017,Porsche,911,Turbo,,,White,Automatic,,
55,Used,15537,2015,Porsche,911,Turbo,,,White,Automatic,,
56,Used,30948,2017,Porsche,911,Turbo,,,White,Automatic,,
57,Used,6485,2014,Porsche,911,GT3,,,White,Automatic,,
58,Used,22300,2015,Porsche,911,GT3,,,White,Automatic,,
59,Used,26758,2015,Porsche,911,GT3,,,White,Automatic,,
60,Used,7378,2014,Porsche,911,Turbo,S,,White,Automatic,,
61,Used,3459,2018,Porsche,911,GT3,,,White,Automatic,,
62,Used,11831,2017,Porsche,911,Turbo,S,,White,Automatic,,
63,Used,13449,2015,Porsche,911,GT3,,,White,Automatic,,
64,Used,2512,2019,Porsche,911,GT3,,,White,Automatic,,
65,Porsche Certified,1112,2019,Porsche,911,Turbo,S,,White,Automatic,,
66,Used,41,2019,Porsche,911,GT3,RS,,White,Automatic,,
67,Used,1817,2019,Porsche,911,GT3,RS,,White,Automatic,,
68,Porsche Certified,17158,2014,Porsche,911,Turbo,S,,White,Automatic,,
69,Used,365,2017,Porsche,911,Targa,4S,,White,Automatic,,
70,Used,7920,2017,Porsche,911,Carrera,4,,White,Automatic,,
71,Used,6171,2018,Porsche,911,GT3,,,White,Automatic,,
72,Porsche Certified,12904,2017,Porsche,911,Carrera,,,White,Automatic,,
73,Used,26505,2015,Porsche,911,Carrera,S,,White,Automatic,,
74,Porsche Certified,12750,2017,Porsche,911,Carrera,4,,White,Automatic,,
75,Porsche Certified,6624,2019,Porsche,911,Carrera,T,,White,Automatic,,
76,Used,2902,2019,Porsche,911,Carrera,4S,,White,Automatic,,
77,Used,2980,2019,Porsche,911,GT3,RS,,White,Automatic,,
78,Used,950,2019,Porsche,911,GT2,RS,,White,Automatic,,
79,Porsche Certified,23325,2017,Porsche,911,Carrera,4,,White,Automatic,,
80,Porsche Certified,8082,2017,Porsche,911,Carrera,S,,White,Automatic,,
81,Used,10814,2016,Porsche,911,Carrera,GTS,,White,Automatic,,
82,Used,23258,2017,Porsche,911,Carrera,,,White,Automatic,,
83,Used,250,2019,Porsche,911,Turbo,,,White,Automatic,,
84,Porsche Certified,13222,2012,Porsche,911,Turbo,,,White,Automatic,,
85,Porsche Certified,7602,2018,Porsche,911,Turbo,,,White,Automatic,,
86,Used,8627,2018,Porsche,911,Turbo,,,White,Automatic,,
87,Used,5757,2018,Porsche,911,Turbo,S,,White,Automatic,,
88,Used,11397,2016,Porsche,911,Turbo,,,White,Automatic,,
89,Used,9924,2017,Porsche,911,Carrera,4S,,White,Automatic,,
90,Used,2371,2016,Porsche,911,GT3,RS,,White,Automatic,,
91,Used,37085,2017,Porsche,911,Carrera,S,,White,Automatic,,
92,Used,4154,2018,Porsche,911,Turbo,S,,White,Automatic,,
93,Used,12417,2016,Porsche,911,Carrera,GTS,,White,Automatic,,
94,Used,7604,2019,Porsche,911,Targa,4S,,White,Automatic,,
95,Used,28903,2017,Porsche,911,Carrera,,,White,Automatic,,
96,Used,21066,2017,Porsche,911,Turbo,S,,White,Automatic,,
97,Used,2723,2019,Porsche,911,GT3,RS,,White,Automatic,,
98,Porsche Certified,17310,2017,Porsche,911,Carrera,,,White,Automatic,,
99,Used,11275,2016,Porsche,911,Turbo,,,White,Automatic,,
0,Used,26274,2016,Porsche,911,Carrera,,,White,Automatic,,
1,Used,3575,2016,Porsche,911,GT3,RS,,White,Automatic,,
2,Used,51845,2008,Porsche,911,Carrera,4S,Cabriolet,White,Automatic,,
3,Porsche Certified,17446,2018,Porsche,911,Carrera,,,White,Automatic,,
4,Used,26735,2015,Porsche,911,GT3,,,White,Automatic,,
5,Used,20000,2015,Porsche,911,GT3,,,White,Automatic,,
6,Used,29500,2015,Porsche,911,Turbo,,,White,Automatic,,
7,Used,52971,2008,Porsche,911,Carrera,4,Cabriolet,White,Automatic,,
8,Used,1250,2018,Porsche,911,GT2,RS,,White,Automatic,,
9,Used,41000,2012,Porsche,911,Carrera,4S,,White,Automatic,,
10,Used,22985,2017,Porsche,911,Carrera,4,,White,Automatic,,
11,Used,17984,2011,Porsche,911,Turbo,S,,White,Automatic,,
12,Used,15363,2015,Porsche,911,Turbo,S,,White,Automatic,,
13,Used,41056,2016,Porsche,911,Carrera,4,,White,Automatic,,
14,Used,3450,2015,Porsche,911,Turbo,,,White,Automatic,,
15,Used,39656,2013,Porsche,911,Carrera,,,White,Automatic,,
16,Used,16500,2015,Porsche,911,GT3,,,White,Automatic,,
17,Used,37543,2011,Porsche,911,Targa,4,,White,Automatic,,
18,Used,11719,2014,Porsche,911,GT3,,,White,Automatic,,
19,Used,29214,2013,Porsche,911,Carrera,,,White,Automatic,,
20,Porsche Certified,56797,2015,Porsche,911,Carrera,S,,White,Automatic,,
21,Used,31288,2017,Porsche,911,Carrera,,,White,Automatic,,
22,Used,75200,2012,Porsche,911,Carrera,4S,,White,Automatic,,
23,Used,4113,2017,Porsche,911,Carrera,,,White,Automatic,,
24,Used,8830,2014,Porsche,911,GT3,,,White,Automatic,,
25,Used,58785,2008,Porsche,911,Carrera,4S,,White,Automatic,,
26,Used,61833,2011,Porsche,911,Carrera,4S,,White,Automatic,,
27,Used,13600,2012,Porsche,911,Carrera,S,,White,Automatic,,
28,Used,36843,2015,Porsche,911,Carrera,S,,White,Automatic,,
29,Used,37565,2011,Porsche,911,Carrera,GTS,,White,Automatic,,
30,Used,45727,2014,Porsche,911,Turbo,S,,White,Automatic,,
31,Used,13995,2017,Porsche,911,Turbo,S,,White,Automatic,,
32,Used,58000,2014,Porsche,911,Turbo,S,,White,Automatic,,
33,Used,6760,2018,Porsche,911,Carrera,4,GTS,White,Automatic,,
34,Used,21963,2012,Porsche,911,991,Carrera,S,White,Automatic,,
35,Porsche Certified,26732,2015,Porsche,911,Targa,4S,,White,Automatic,,
36,Used,32525,2012,Porsche,911,Carrera,4,GTS,White,Automatic,,
37,Used,29498,2013,Porsche,911,Carrera,S,,White,Automatic,,
38,Used,41359,2013,Porsche,911,Carrera,,,White,Automatic,,
39,Used,24719,2014,Porsche,911,Carrera,S,,White,Automatic,,
40,Used,734,2019,Porsche,911,GT3,RS,,White,Automatic,,
41,Porsche Certified,14403,2015,Porsche,911,GT3,,,White,Automatic,,
42,Used,7829,2014,Porsche,911,Carrera,,,White,Automatic,,
43,Used,26894,2014,Porsche,911,Carrera,S,,White,Automatic,,
44,Used,10000,2014,Porsche,911,GT3,,,White,Automatic,,
45,Used,31863,2011,Porsche,911,Carrera,GTS,,White,Automatic,,
46,Porsche Certified,15135,2015,Porsche,911,Carrera,S,,White,Automatic,,
47,Used,17001,2016,Porsche,911,GT3,RS,,White,Automatic,,
48,Used,24588,2016,Porsche,911,Turbo,S,,White,Automatic,,
49,Used,32377,2017,Porsche,911,Carrera,,,White,Automatic,,
50,Used,53064,2009,Porsche,911,Carrera,,,White,Automatic,,
51,Used,52992,2013,Porsche,911,Carrera,4S,,White,Automatic,,
52,Used,52300,2009,Porsche,911,Carrera,,,White,Automatic,,
53,Used,19547,2016,Porsche,911,GT3,RS,,White,Automatic,,
54,Porsche Certified,18528,2017,Porsche,911,Targa,4S,,White,Automatic,,
55,Used,25124,2016,Porsche,911,Carrera,,,White,Automatic,,
56,Used,15215,2014,Porsche,911,GT3,,,White,Automatic,,
57,Used,54700,2008,Porsche,911,Carrera,S,Cabriolet,White,Automatic,,
58,Used,54236,2011,Porsche,911,Turbo,S,,White,Automatic,,
59,Porsche Certified,52677,2010,Porsche,911,Carrera,,,White,Automatic,,
60,Used,44448,2015,Porsche,911,Turbo,,,White,Automatic,,
61,Used,9800,2016,Porsche,911,Targa,4,GTS,White,Automatic,,
62,Porsche Certified,6301,2018,Porsche,911,GT3,,,White,Automatic,,
63,Porsche Certified,11275,2016,Porsche,911,Turbo,,,White,Automatic,,
64,Used,68208,2008,Porsche,911,Carrera,S,Cabriolet,White,Automatic,,
65,Used,33800,2014,Porsche,911,GT3,,,White,Automatic,,
66,Used,34642,2008,Porsche,911,Carrera,S,,White,Automatic,,
67,Used,42367,2014,Porsche,911,Carrera,S,,White,Automatic,,
68,Used,25086,2015,Porsche,911,Carrera,4S,,White,Automatic,,
