car,condition,milage,extar_info
2018 Porsche 911 GT3,Used,3459 mi.,159997
2017 Porsche 911 Turbo S,Used,11831 mi.,144995
2015 Porsche 911 GT3,Used,13449 mi.,123000
2019 Porsche 911 GT3,Used,2512 mi.,163995
2019 Porsche 911 Turbo S,Porsche Certified,1112 mi.,179000
2019 Porsche 911 GT3 RS,Used,41 mi.,251190
2019 Porsche 911 GT3 RS,Used,1817 mi.,210000
2014 Porsche 911 Turbo S,Porsche Certified,17158 mi.,119900
2017 Porsche 911 Targa 4S,Used,365 mi.,134006
2017 Porsche 911 Carrera 4,Used,7920 mi.,89998
2018 Porsche 911 GT3,Used,6171 mi.,149905
2017 Porsche 911 Carrera,Porsche Certified,12904 mi.,81421
2015 Porsche 911 Carrera S,Used,26505 mi.,79900
2017 Porsche 911 Carrera 4,Porsche Certified,12750 mi.,88336
2019 Porsche 911 Carrera T,Porsche Certified,6624 mi.,94995
2019 Porsche 911 Carrera 4S,Porsche Certified,2902 mi.,122900
2019 Porsche 911 GT3 RS,Used,2980 mi.,185000
2019 Porsche 911 GT2 RS,Used,950 mi.,379999
2017 Porsche 911 Carrera 4,Porsche Certified,23325 mi.,89989
2017 Porsche 911 Carrera S,Porsche Certified,8082 mi.,94900
2016 Porsche 911 Carrera GTS,Used,10814 mi.,92995
2017 Porsche 911 Carrera,Used,23258 mi.,79991
2019 Porsche 911 Turbo,Used,250 mi.,174988
2012 Porsche 911 Turbo,Porsche Certified,13222 mi.,92000
2018 Porsche 911 Turbo,Porsche Certified,7602 mi.,155000
2018 Porsche 911 Turbo,Used,8627 mi.,149991
2018 Porsche 911 Turbo S,Used,5757 mi.,163950
2016 Porsche 911 Turbo,Used,11397 mi.,121955
2017 Porsche 911 Carrera 4S,Used,9924 mi.,113995
2016 Porsche 911 GT3 RS,Used,2371 mi.,175850
2017 Porsche 911 Carrera S,Used,37085 mi.,89996
2018 Porsche 911 Turbo S,Used,4154 mi.,260000
2016 Porsche 911 Carrera GTS,Used,12417 mi.,98800
2019 Porsche 911 Targa 4S,Used,7604 mi.,132988
2017 Porsche 911 Carrera,Used,28903 mi.,76999
2017 Porsche 911 Turbo S,Used,21111 mi.,139956
2019 Porsche 911 GT3 RS,Used,2723 mi.,219991
2017 Porsche 911 Carrera,Porsche Certified,17310 mi.,86998
