car,condition,milage,extar_info
2008 Porsche 911 Turbo Cabriolet,Used,40687 mi.,60579
2019 Porsche 911 Turbo S,Used,6355 mi.,194989
2014 Porsche 911 Turbo,Used,18414 mi.,115888
2015 Porsche 911 Turbo S,Used,19128 mi.,134991
2016 Porsche 911 GT3 RS,Porsche Certified,4061 mi.,163888
2017 Porsche 911 Carrera,Used,5887 mi.,79850
2018 Porsche 911 Carrera,Used,7591 mi.,84000
2018 Porsche 911 GT3,Used,5839 mi.,152990
2017 Porsche 911 Carrera,Used,37586 mi.,69786
2016 Porsche 911 Targa 4S,Used,30641 mi.,86490
2012 Porsche 911,Used,93329 mi.,72881
2011 Porsche 911 Turbo S,Used,23518 mi.,93750
2019 Porsche 911 Targa 4,Used,21 mi.,114881
2014 Porsche 911 GT3,Used,1650 mi.,129900
2015 Porsche 911 GT3,Used,9354 mi.,119888
2013 Porsche 911 Carrera 4S,Used,44413 mi.,71995
2018 Porsche 911 GT3,Porsche Certified,7686 mi.,156793
2019 Porsche 911 Turbo S,Used,7 mi.,169881
2011 Porsche 911 Carrera S,Used,62236 mi.,44995
2016 Porsche 911 Targa 4S,Used,15240 mi.,114900
2018 Porsche 911 Carrera S,Used,14297 mi.,96991
2017 Porsche 911 Turbo,Used,18402 mi.,128950
2018 Porsche 911 Turbo S,Used,13329 mi.,154990
2015 Porsche 911 Carrera 4S,Porsche Certified,22840 mi.,81995
2014 Porsche 911 Turbo S,Used,20442 mi.,116000
2018 Porsche 911 GT3,Used,3847 mi.,158000
2019 Porsche 911 Carrera,Porsche Certified,22752 mi.,83186
2016 Porsche 911 GT3 RS,Porsche Certified,690 mi.,189900
2015 Porsche 911 GT3,Used,17532 mi.,119995
2019 Porsche 911 Carrera GTS,Porsche Certified,6003 mi.,122998
2018 Porsche 911 GT3,Used,37226 mi.,121640
2019 Porsche 911 Carrera,Porsche Certified,7080 mi.,93988
2015 Porsche 911 GT3,Used,22216 mi.,114950
2015 Porsche 911 Turbo S,Used,28779 mi.,117777
2013 Porsche 911 Carrera S,Used,26775 mi.,67500
2018 Porsche 911 Turbo,Used,7460 mi.,138000
2017 Porsche 911 Carrera,Used,40700 mi.,66999
2008 Porsche 911 Carrera,Used,87000 mi.,33000
2017 Porsche 911 Carrera,Porsche Certified,5574 mi.,78878
2019 Porsche 911 Carrera S,Used,1806 mi.,112500
2017 Porsche 911 Carrera,Porsche Certified,21313 mi.,82988
2015 Porsche 911 Turbo,Used,22142 mi.,99995
2017 Porsche 911 Carrera,Porsche Certified,8765 mi.,79980
2011 Porsche 911 Turbo,Used,36420 mi.,77500
2017 Porsche 911 Carrera,Used,23649 mi.,83880
2018 Porsche 911 GT3,Used,4997 mi.,155000
2016 Porsche 911 Turbo,Used,27801 mi.,109900
2019 Porsche 911 Turbo S,Used,1350 mi.,179900
2018 Porsche 911 Turbo,Used,7960 mi.,140990
2009 Porsche 911 Turbo Cabriolet,Used,25468 mi.,69900
2015 Porsche 911 Turbo S,Used,18370 mi.,121777
2017 Porsche 911 Turbo,Porsche Certified,14765 mi.,139898
2017 Porsche 911 Turbo S,Used,16119 mi.,Not Priced
2014 Porsche 911 Turbo S,Used,24114 mi.,113777
2014 Porsche 911 Carrera S,Used,9031 mi.,83841
2017 Porsche 911 Turbo,Used,17197 mi.,124680
2015 Porsche 911 Turbo,Used,15537 mi.,129991
2017 Porsche 911 Turbo,Used,30948 mi.,116995
2014 Porsche 911 GT3,Used,6485 mi.,120900
2015 Porsche 911 GT3,Used,22300 mi.,115000
2015 Porsche 911 GT3,Used,26758 mi.,119800
2014 Porsche 911 Turbo S,Used,7378 mi.,126900
