car,condition,milage,extar_info
2019 Porsche 911 Turbo S,Porsche Certified,5643 mi.,181900
2015 Porsche 911 Turbo S,Used,4718 mi.,129800
2018 Porsche 911 Carrera T,Used,3607 mi.,90306
2015 Porsche 911 Turbo,Used,37541 mi.,97990
2018 Porsche 911 Turbo S,Porsche Certified,2628 mi.,174800
2019 Porsche 911 Turbo S,Porsche Certified,6349 mi.,185000
2016 Porsche 911 Turbo,Porsche Certified,46715 mi.,103898
2017 Porsche 911 Carrera S,Porsche Certified,32023 mi.,88995
2017 Porsche 911 Turbo S,Porsche Certified,2580 mi.,169995
2012 Porsche 911 Turbo S,Used,22100 mi.,98999
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2014 Porsche 911 Carrera S,Used,15934 mi.,84900
2013 Porsche 911 Carrera 4S,Used,25854 mi.,76888
2018 Porsche 911 Carrera,Used,22323 mi.,84590
2013 Porsche 911 Carrera 4S,Porsche Certified,7515 mi.,80900
2017 Porsche 911 Turbo S,Porsche Certified,7380 mi.,156000
2016 Porsche 911 Targa 4S,Porsche Certified,12090 mi.,103889
2015 Porsche 911 Turbo S,Used,13017 mi.,139999
2017 Porsche 911 Turbo,Used,13936 mi.,150000
2012 Porsche 911 Carrera GTS,Used,32994 mi.,74199
2018 Porsche 911 GT2 RS,Porsche Certified,2667 mi.,343350
2012 Porsche 911 Turbo S,Used,16601 mi.,107995
2012 Porsche 911 Carrera 4 GTS,Used,26088 mi.,80000
2018 Porsche 911 Turbo,Used,6589 mi.,144880
2017 Porsche 911 Turbo,Used,30144 mi.,127990
2018 Porsche 911 GT2 RS,Used,1365 mi.,314991
2017 Porsche 911 Carrera,Used,20718 mi.,82991
2016 Porsche 911 Targa 4S,Used,16653 mi.,127990
2012 Porsche 911 Carrera S,Used,27427 mi.,57998
2016 Porsche 911 Turbo,Used,16509 mi.,115880
2018 Porsche 911 Carrera S,Used,21245 mi.,97580
2018 Porsche 911 Carrera 4S,Porsche Certified,17732 mi.,101898
2017 Porsche 911 Carrera,Used,19828 mi.,82988
2014 Porsche 911 Turbo S,Used,9981 mi.,127500
2018 Porsche 911 Turbo S,Used,5689 mi.,172000
2011 Porsche 911 Turbo S,Used,12671 mi.,95750
2012 Porsche 911 Carrera 4S,Used,29101 mi.,61999
2012 Porsche 911 Carrera S,Used,35652 mi.,60800
2015 Porsche 911 Turbo,Used,10797 mi.,119800
2017 Porsche 911 Carrera 4S,Porsche Certified,10021 mi.,102000
2019 Porsche 911 GT3 RS,Used,3859 mi.,208995
2016 Porsche 911 Turbo S,Porsche Certified,7962 mi.,149900
2017 Porsche 911 Turbo S,Porsche Certified,29962 mi.,146881
2012 Porsche 911 S Turbo,Used,21267 mi.,93788
2017 Porsche 911 Carrera S,Used,18636 mi.,93598
2017 Porsche 911 Carrera S,Used,24442 mi.,92000
2019 Porsche 911 Turbo S,Used,3351 mi.,204995
2009 Porsche 911 Targa 4S,Used,8900 mi.,79900
2017 Porsche 911 Carrera 4S,Porsche Certified,13220 mi.,106900
2015 Porsche 911 Turbo S,Used,7400 mi.,134846
2013 Porsche 911 Carrera S,Porsche Certified,27492 mi.,68999
2019 Porsche 911,Used,12089 mi.,99900
2019 Porsche 911 Turbo S,Porsche Certified,8970 mi.,177922
2019 Porsche 911 GT3 RS,Used,2582 mi.,199788
2017 Porsche 911 Turbo S,Used,8384 mi.,159800
