car,condition,milage,extar_info
2017 Porsche 911 FACTORY WHEEL UPGRADE PACKAGE,Used,34868 mi.,75998
2019 Porsche 911 Carrera 4S,Porsche Certified,8497 mi.,110881
2017 Porsche 911 Carrera S,Used,5486 mi.,89900
2014 Porsche 911 Carrera 4S,Used,10450 mi.,79888
2015 Porsche 911 Turbo S,Used,18000 mi.,130000
2018 Porsche 911 Turbo,Porsche Certified,8229 mi.,143895
2015 Porsche 911 Turbo S,Used,17328 mi.,121900
2015 Porsche 911 Turbo S,Used,23550 mi.,124700
2016 Porsche 911 Turbo S,Used,19166 mi.,138000
2017 Porsche 911 Targa 4S,Porsche Certified,28837 mi.,119900
2017 Porsche 911 PACKAGE PLUS,Used,19432 mi.,104998
2014 Porsche 911 Turbo S,Used,21404 mi.,129995
2018 Porsche 911 GT3,Used,6086 mi.,154963
2015 Porsche 911 Turbo S,Porsche Certified,10521 mi.,126970
2017 Porsche 911 Carrera S,Porsche Certified,31830 mi.,84900
2019 Porsche 911 Turbo S,Porsche Certified,693 mi.,174900
2018 Porsche 911 Carrera 4S,Used,2532 mi.,122995
2019 Porsche 911 GT3 RS,Used,539 mi.,255950
2015 Porsche 911 Turbo,Porsche Certified,34346 mi.,107000
2017 Porsche 911 Carrera S,Porsche Certified,40729 mi.,82981
2019 Porsche 911 Turbo S,Used,2194 mi.,173989
2017 Porsche 911 Turbo S,Porsche Certified,19000 mi.,143955
2018 Porsche 911 Carrera,Used,47832 mi.,69998
2015 Porsche 911 Turbo S,Used,21561 mi.,123995
2010 Porsche 911 Carrera S,Used,26718 mi.,55995
2019 Porsche 911 Carrera S,Used,4212 mi.,103595
2017 Porsche 911 Carrera 4,Porsche Certified,28835 mi.,92950
2019 Porsche 911 Turbo S,Used,6170 mi.,179900
2018 Porsche 911 Turbo S,Used,1849 mi.,188500
2017 Porsche 911 Turbo S,Porsche Certified,7101 mi.,157000
2018 Porsche 911 Carrera,Used,4190 mi.,99500
2015 Porsche 911 Carrera S,Used,9156 mi.,83911
2018 Porsche 911 Carrera S,Used,9956 mi.,94900
2019 Porsche 911 Carrera 4S,Used,131 mi.,134900
2017 Porsche 911 Turbo S,Porsche Certified,20882 mi.,148980
2017 Porsche 911 Turbo S,Used,21060 mi.,150000
2017 Porsche 911,Used,1914 mi.,132995
2019 Porsche 911 GT3 RS,Used,4088 mi.,207900
2017 Porsche 911 Carrera S,Used,18548 mi.,91250
2016 Porsche 911 Turbo S,Used,39265 mi.,119800
2019 Porsche 911 Turbo S,Used,8 mi.,189900
2018 Porsche 911 GT2 RS,Porsche Certified,676 mi.,334898
2019 Porsche 911 Turbo,Used,162 mi.,164900
2019 Porsche 911 Turbo S,Porsche Certified,3142 mi.,189900
2016 Porsche 911 Turbo S,Used,3565 mi.,134991
2018 Porsche 911 Turbo S,Used,1952 mi.,190900
2015 Porsche 911 Turbo,Used,17916 mi.,122900
