car,condition,milage,extar_info
2019 Porsche 911 Carrera GTS,Used,4068 mi.,120490
2017 Porsche 911 Turbo,Porsche Certified,34899 mi.,133994
2007 Porsche 911 Turbo,Used,38462 mi.,62899
2009 Porsche 911 Turbo,Used,18375 mi.,75999
2016 Porsche 911 Turbo S,Used,19166 mi.,134000
2016 Porsche 911 Turbo,Porsche Certified,16938 mi.,117881
2017 Porsche 911 Carrera 4S,Used,7791 mi.,94999
2018 Porsche 911 GT2 RS,Used,417 mi.,339900
2017 Porsche 911 Carrera 4S,Used,23529 mi.,94900
2014 Porsche 911 GT3,Used,13422 mi.,99990
2015 Porsche 911 Carrera S,Used,36803 mi.,69890
2019 Porsche 911 Turbo,Used,104 mi.,170599
2014 Porsche 911 Carrera S,Used,16048 mi.,72998
2012 Porsche 911 Carrera S,Used,48818 mi.,61995
2016 Porsche 911 Turbo S,Porsche Certified,19542 mi.,133916
2014 Porsche 911 50th Anniversary Edition,Used,13697 mi.,110000
2017 Porsche 911 Targa 4,Used,17574 mi.,91102
2010 Porsche 911 Carrera S,Used,47474 mi.,49999
2014 Porsche 911 Turbo,Used,34788 mi.,91495
2007 Porsche 911 Carrera Cabriolet,Used,84011 mi.,29900
2018 Porsche 911 GT2 RS,Used,3393 mi.,309900
2015 Porsche 911 Carrera S,Used,17841 mi.,77999
2017 Porsche 911 Carrera S,Porsche Certified,17825 mi.,98983
2019 Porsche 911 Targa 4S,Used,1475 mi.,138750
2014 Porsche 911 Carrera 4S,Used,21254 mi.,74998
2014 Porsche 911 Turbo,Used,16768 mi.,104900
2018 Porsche 911 Turbo,Used,4881 mi.,143888
2009 Porsche 911 Carrera S Cabriolet,Used,101435 mi.,39995
2015 Porsche 911 Carrera,Used,27492 mi.,65900
2015 Porsche 911 Carrera 4,Used,8154 mi.,69900
2017 Porsche 911 Targa 4S,Used,14225 mi.,119900
2017 Porsche 911 Carrera,Used,43338 mi.,69850
2013 Porsche 911 Turbo,Used,22122 mi.,104325
2014 Porsche 911 Turbo S,Used,6959 mi.,124995
2015 Porsche 911 Turbo,Used,8902 mi.,118798
2017 Porsche 911 Carrera,Porsche Certified,21625 mi.,77900
2017 Porsche 911 Carrera 4S,Used,14653 mi.,100911
2018 Porsche 911 Targa 4S,Used,26575 mi.,118900
2014 Porsche 911 Carrera,Used,46691 mi.,57999
2017 Porsche 911 Carrera,Porsche Certified,21650 mi.,82995
2019 Porsche 911 GT3 RS,Used,61 mi.,244988
2017 Porsche 911 Carrera 4S,Used,32444 mi.,88888
2018 Porsche 911 GT2 RS,Porsche Certified,989 mi.,294991
2017 Porsche 911 Carrera 4S,Used,4786 mi.,99000
2017 Porsche 911 Targa 4S,Used,9244 mi.,139000
2014 Porsche 911,Used,19124 mi.,118888
2018 Porsche 911 Turbo,Porsche Certified,4613 mi.,152000
2017 Porsche 911,Used,6976 mi.,123888
2018 Porsche 911 GT3,Used,5768 mi.,165995
2019 Porsche 911 GT2 RS,Used,177 mi.,336900
2017 Porsche 911 Carrera 4S,Porsche Certified,22149 mi.,90999
2017 Porsche 911 Turbo,Porsche Certified,18836 mi.,141991
2017 Porsche 911 Carrera,Porsche Certified,9526 mi.,85295
2019 Porsche 911 Carrera 4 GTS,Used,1907 mi.,136995
2008 Porsche 911 Carrera S Cabriolet,Porsche Certified,49867 mi.,43495
2016 Porsche 911 Turbo S,Used,19146 mi.,132895
2014 Porsche 911 Turbo S,Porsche Certified,36450 mi.,110000
2017 Porsche 911 Targa 4,Used,5667 mi.,113500
2007 Porsche 911 Turbo,Used,9463 mi.,74900
2010 Porsche 911 Carrera,Used,49191 mi.,39790
2017 Porsche 911 Carrera 4S,Porsche Certified,4580 mi.,102500
2016 Porsche 911 Turbo S,Used,12119 mi.,133888
2017 Porsche 911 PACKAGE PLUS,Porsche Certified,22877 mi.,81598
2019 Porsche 911 GT3 RS,Used,1730 mi.,240000
2017 Porsche 911 Carrera S,Used,1159 mi.,95995
2011 Porsche 911 Carrera GTS,Used,22053 mi.,76995
2017 Porsche 911 Carrera,Porsche Certified,15084 mi.,81900
2015 Porsche 911 Carrera S,Used,21056 mi.,75990
2013 Porsche 911 Carrera S,Used,18919 mi.,73500
2019 Porsche 911 Carrera 4S,Used,4149 mi.,120991
2016 Porsche 911 Turbo S,Porsche Certified,12864 mi.,137990
2009 Porsche 911 Carrera S,Used,40675 mi.,49999
2017 Porsche 911 Carrera 4,Used,5219 mi.,93911
2017 Porsche 911 Targa 4S,Used,24779 mi.,117858
2015 Porsche 911 GT3,Used,29994 mi.,111500
2017 Porsche 911 Carrera,Used,18160 mi.,86500
2013 Porsche 911 Carrera S,Used,34051 mi.,68199
2018 Porsche 911 Turbo,Used,3271 mi.,144900
2017 Porsche 911 Turbo S,Used,9781 mi.,149888
2015 Porsche 911 GT3,Used,4845 mi.,129000
2015 Porsche 911 Carrera 4S,Used,21000 mi.,82990
2017 Porsche 911 Carrera S,Used,19753 mi.,92765
2019 Porsche 911 Turbo S,Porsche Certified,1739 mi.,182000
2019 Porsche 911 GT3 RS,Used,103 mi.,216000
2017 Porsche 911,Used,12804 mi.,123995
2018 Porsche 911 Carrera,Porsche Certified,18502 mi.,83900
2015 Porsche 911 Turbo,Used,15163 mi.,109888
2012 Porsche 911 Carrera S,Used,32314 mi.,66995
2018 Porsche 911 GT2 RS,Porsche Certified,4881 mi.,312000
2016 Porsche 911 Turbo S,Used,29099 mi.,133800
2019 Porsche 911 Carrera 4S,Used,2770 mi.,110998
2015 Porsche 911 Turbo S,Used,12236 mi.,129995
