car,condition,milage,extar_info
2018 Porsche 911 Turbo,Porsche Certified,13492 mi.,139900
2016 Porsche 911 Turbo,Used,23223 mi.,116900
2012 Porsche 911 Carrera GTS,Used,24368 mi.,75995
2018 Porsche 911 Carrera,Used,22323 mi.,84590
2015 Porsche 911 Turbo,Used,37541 mi.,97990
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2011 Porsche 911 Turbo S,Used,3962 mi.,99989
2015 Porsche 911 Carrera GTS,Used,22325 mi.,86955
2016 Porsche 911 Turbo S,Used,11000 mi.,135400
2017 Porsche 911 Turbo S,Used,9243 mi.,154996
2017 Porsche 911 Carrera 4S,Porsche Certified,11315 mi.,105995
2013 Porsche 911 Carrera S,Used,21876 mi.,72495
2017 Porsche 911 Targa 4 GTS,Used,7800 mi.,126900
2014 Porsche 911 Turbo S,Porsche Certified,60653 mi.,107899
2015 Porsche 911 GT3,Used,10986 mi.,129995
2018 Porsche 911 GT3,Used,7001 mi.,159955
2018 Porsche 911 Turbo S,Used,5769 mi.,179995
2011 Porsche 911 Turbo S,Used,40591 mi.,129990
2014 Porsche 911 Turbo S,Porsche Certified,43719 mi.,109995
2017 Porsche 911 Turbo,Used,3408 mi.,132911
2019 Porsche 911 Turbo,Used,67 mi.,159881
2016 Porsche 911 Turbo S,Used,12800 mi.,139900
2019 Porsche 911 Turbo S,Used,16309 mi.,174800
2015 Porsche 911 Targa 4S,Used,20497 mi.,94888
2017 Porsche 911 Turbo S,Used,5523 mi.,159996
2017 Porsche 911 Carrera,Used,3738 mi.,89877
2019 Porsche 911 GT3 RS,Porsche Certified,163 mi.,247500
2015 Porsche 911 Turbo,Used,8532 mi.,114995
2019 Porsche 911 Turbo S,Used,481 mi.,177550
2014 Porsche 911 Turbo S,Used,51395 mi.,93500
2018 Porsche 911 Turbo,Porsche Certified,5722 mi.,144500
2015 Porsche 911 GT3,Used,12565 mi.,122999
2019 Porsche 911 GT3 RS,Porsche Certified,2050 mi.,199950
