car,condition,milage,extar_info
2012 Porsche 911 Carrera Black Edition,Used,47649 mi.,48950
2015 Porsche 911 Carrera,Used,19020 mi.,67988
2016 Porsche 911 Turbo,Used,15305 mi.,115000
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2009 Porsche 911 Carrera S Cabriolet,Used,85000 mi.,34900
2018 Porsche 911 Carrera S,Used,15808 mi.,96995
2009 Porsche 911 Carrera S,Used,48750 mi.,49999
2009 Porsche 911 Turbo Cabriolet,Used,37856 mi.,62988
2015 Porsche 911 Turbo,Used,37541 mi.,97990
2011 Porsche 911 Turbo,Used,25648 mi.,89988
2013 Porsche 911 Carrera S,Used,20039 mi.,67790
2012 Porsche 911 Carrera 4,Used,29405 mi.,55000
2012 Porsche 911 Carrera S,Used,54905 mi.,53000
2013 Porsche 911 Carrera S,Used,35475 mi.,67395
2016 Porsche 911 Carrera,Used,40208 mi.,59991
2011 Porsche 911 Turbo S,Used,83931 mi.,64850
2017 Porsche 911 Carrera,Porsche Certified,47438 mi.,69998
2014 Porsche 911 Turbo S,Porsche Certified,9528 mi.,119577
2012 Porsche 911 Turbo S,Used,65807 mi.,79989
2014 Porsche 911 Carrera S,Porsche Certified,18823 mi.,75991
2016 Porsche 911 Carrera 4,Porsche Certified,32133 mi.,69991
2015 Porsche 911 Turbo,Porsche Certified,11772 mi.,101999
2008 Porsche 911 Turbo Cabriolet,Used,24839 mi.,67995
2009 Porsche 911 Carrera S,Used,46369 mi.,48995
2018 Porsche 911 Carrera 4S,Used,16004 mi.,95800
2013 Porsche 911 Carrera,Used,32845 mi.,54750
2008 Porsche 911 Targa 4S,Used,15442 mi.,62995
2018 Porsche 911 GT2 RS,Used,2546 mi.,329500
2011 Porsche 911 Turbo,Used,9223 mi.,89999
2018 Porsche 911 Carrera 4 GTS,Used,9574 mi.,108994
2009 Porsche 911 Carrera Cabriolet,Used,27748 mi.,49900
2019 Porsche 911 Carrera 4S,Used,8 mi.,114881
2012 Porsche 911 Carrera Black Edition,Used,28592 mi.,64999
2014 Porsche 911 Carrera,Used,39508 mi.,58900
2007 Porsche 911 Turbo,Used,18988 mi.,72995
2007 Porsche 911 Carrera S,Used,56154 mi.,48000
2015 Porsche 911 Carrera,Used,24640 mi.,62998
2013 Porsche 911 Carrera S,Used,46699 mi.,59999
2010 Porsche 911 Carrera 4 Cabriolet,Used,51392 mi.,45980
2014 Porsche 911 Carrera S,Used,38463 mi.,67999
2014 Porsche 911 Carrera S,Used,19727 mi.,75990
2012 Porsche 911 Carrera S,Used,40750 mi.,55000
2008 Porsche 911 Carrera 4,Used,74005 mi.,34998
2008 Porsche 911 Turbo Cabriolet,Used,90492 mi.,49997
2014 Porsche 911 Carrera,Used,46788 mi.,57990
2013 Porsche 911 Carrera,Used,38396 mi.,59900
