car,condition,milage,extar_info
2011 Porsche 911 Turbo S,Porsche Certified,17947 mi.,94990
2015 Porsche 911 GT3,Porsche Certified,9001 mi.,124650
2011 Porsche 911 Turbo S,Used,12703 mi.,97495
2015 Porsche 911 Turbo,Used,37541 mi.,97990
2018 Porsche 911 Carrera,Used,22323 mi.,84590
2019 Porsche 911 GT3 RS,Used,1296 mi.,199900
2019 Porsche 911 Carrera 4S,Used,125 mi.,143970
2018 Porsche 911 Carrera GTS,Porsche Certified,4177 mi.,125220
2015 Porsche 911 Carrera S,Used,23000 mi.,76500
2017 Porsche 911 Carrera 4S,Used,11607 mi.,106900
2019 Porsche 911 Targa 4 GTS,Used,38 mi.,149881
2018 Porsche 911 Carrera S,Used,3100 mi.,127298
2019 Porsche 911 Turbo S,Used,6965 mi.,199880
2013 Porsche 911 Carrera 4S,Porsche Certified,27378 mi.,77995
2019 Porsche 911 GT3 RS,Used,1426 mi.,220000
2017 Porsche 911 Turbo S,Used,26312 mi.,139994
2015 Porsche 911 Turbo,Used,30665 mi.,109988
2014 Porsche 911 Turbo S,Used,21547 mi.,116995
2016 Porsche 911 Carrera,Used,40460 mi.,66981
2017 Porsche 911 Turbo,Used,6432 mi.,142900
2017 Porsche 911 Carrera S,Porsche Certified,11938 mi.,89995
2016 Porsche 911 Carrera Black Edition,Used,32461 mi.,87777
2014 Porsche 911 Carrera,Used,73000 mi.,45000
2013 Porsche 911 Carrera,Used,23400 mi.,57888
2012 Porsche 911 Carrera S,Used,21800 mi.,58900
2012 Porsche 911 Carrera Coupe,Used,48695 mi.,49995
2017 Porsche 911 Carrera 4S,Used,35361 mi.,87900
2017 Porsche 911 Carrera,Used,39007 mi.,69980
2013 Porsche 911 Carrera,Used,33000 mi.,55000
2007 Porsche 911 Turbo,Used,91030 mi.,41995
2017 Porsche 911 Carrera S,Used,13469 mi.,95000
2017 Porsche 911 Carrera 4S,Used,11080 mi.,106998
2014 Porsche 911 Turbo S,Used,11916 mi.,Not Priced
2018 Porsche 911 Turbo,Used,6589 mi.,148880
2016 Porsche 911 Carrera GTS,Used,6746 mi.,105900
2011 Porsche 911 S Turbo,Used,11302 mi.,119950
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2017 Porsche 911 Carrera 4,Used,15430 mi.,89995
