car,condition,milage,extar_info
2013 Porsche 911 Carrera,Used,19922 mi.,62990
2019 Porsche 911 GT3 RS,Used,2561 mi.,215777
2016 Porsche 911 Carrera Black Edition,Used,34660 mi.,63000
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2018 Porsche 911 Carrera,Used,22323 mi.,84590
2015 Porsche 911 Turbo,Used,37541 mi.,97990
2015 Porsche 911 Turbo S,Used,11000 mi.,144900
2018 Porsche 911 Carrera 4S,Used,7233 mi.,Not Priced
2015 Porsche 911 Turbo S,Used,13552 mi.,Not Priced
2013 Porsche 911 Carrera,Used,2183 mi.,71800
2011 Porsche 911 Carrera GTS,Used,47690 mi.,Not Priced
2014 Porsche 911 Turbo,Used,28000 mi.,94980
2017 Porsche 911 Carrera,Used,17282 mi.,79850
2019 Porsche 911 Carrera 4S,Porsche Certified,6119 mi.,113000
2019 Porsche 911 Turbo S,Used,-- mi.,189995
2018 Porsche 911 Turbo S,Used,10530 mi.,Not Priced
2017 Porsche 911 Carrera 4S,Used,34200 mi.,86864
2017 Porsche 911 Carrera S,Porsche Certified,20373 mi.,91000
2012 Porsche 911 Turbo,Used,37216 mi.,Not Priced
2015 Porsche 911 Turbo,Used,20674 mi.,110990
2009 Porsche 911 Carrera 4S,Used,50319 mi.,52997
2013 Porsche 911 Carrera 4,Used,39539 mi.,54985
2007 Porsche 911 Turbo,Used,33054 mi.,74888
2017 Porsche 911 Carrera,Porsche Certified,31765 mi.,82900
2007 Porsche 911 Carrera 4S,Used,116291 mi.,Not Priced
2007 Porsche 911 Carrera S Cabriolet,Used,86000 mi.,31888
