car,condition,milage,extar_info
2015 Porsche 911 Carrera,Used,71021 mi.,50000
2015 Porsche 911 Carrera,Used,33146 mi.,61000
2017 Porsche 911 Carrera S,Used,14706 mi.,89995
2012 Porsche 911 Carrera,Used,42146 mi.,55499
2017 Porsche 911 Carrera,Used,9942 mi.,82900
2014 Porsche 911 Turbo S,Used,16577 mi.,114900
2016 Porsche 911,Used,27234 mi.,75000
2018 Porsche 911 Carrera,Used,22120 mi.,77500
2017 Porsche 911 Carrera 4S,Used,29422 mi.,90000
2012 Porsche 911 Carrera S,Used,21632 mi.,65999
2016 Porsche 911 Carrera S,Porsche Certified,6500 mi.,85911
2018 Porsche 911 Carrera GTS,Used,8085 mi.,114981
2017 Porsche 911 Carrera,Used,40387 mi.,69995
2017 Porsche 911 Carrera 4S,Used,8470 mi.,111500
2013 Porsche 911 Carrera,Used,36578 mi.,54999
2014 Porsche 911 Carrera,Used,33851 mi.,53000
2019 Porsche 911 Carrera GTS,Used,2593 mi.,127900
2018 Porsche 911 Carrera S,Porsche Certified,7467 mi.,95995
2013 Porsche 911 Carrera 4S,Used,11082 mi.,78498
2017 Porsche 911 Carrera,Porsche Certified,18318 mi.,84983
2015 Porsche 911 GT3,Porsche Certified,13570 mi.,123775
2017 Porsche 911 Carrera S,Used,17980 mi.,84900
2015 Porsche 911 Turbo S,Used,5636 mi.,127995
2009 Porsche 911 Carrera S Cabriolet,Used,60456 mi.,43995
2017 Porsche 911 Carrera,Used,26360 mi.,70500
2015 Porsche 911 GT3,Used,9298 mi.,125995
2012 Porsche 911 Carrera,Used,18240 mi.,55999
2015 Porsche 911 Carrera,Used,13111 mi.,66664
2009 Porsche 911 Carrera,Used,24000 mi.,59995
2019 Porsche 911 Carrera 4S,Porsche Certified,317 mi.,132790
2017 Porsche 911 Turbo S,Used,8227 mi.,122900
2016 Porsche 911 Carrera GTS,Used,23625 mi.,82894
2015 Porsche 911 Carrera 4S,Used,24187 mi.,75998
2018 Porsche 911 Carrera 4S,Used,12470 mi.,113988
2017 Porsche 911 Carrera 4S,Used,8547 mi.,99000
2014 Porsche 911 Turbo S,Used,13368 mi.,159000
2009 Porsche 911 Turbo Cabriolet,Used,34724 mi.,68900
2017 Porsche 911 Carrera S,Used,17600 mi.,93500
2018 Porsche 911 GT3,Used,5284 mi.,148888
2012 Porsche 911 Turbo,Used,48905 mi.,74228
2007 Porsche 911 Carrera S Cabriolet,Used,58177 mi.,39995
2019 Porsche 911 GT2 RS,Used,499 mi.,329900
2012 Porsche 911 Carrera S,Used,26789 mi.,61783
2018 Porsche 911 Carrera,Used,20323 mi.,75988
2014 Porsche 911 Carrera,Porsche Certified,37081 mi.,61900
2008 Porsche 911 Carrera S Cabriolet,Used,70865 mi.,32888
2017 Porsche 911,Porsche Certified,25712 mi.,93583
2007 Porsche 911 Carrera Cabriolet,Used,62890 mi.,28800
2016 Porsche 911 Carrera,Used,37505 mi.,61998
2017 Porsche 911 Carrera,Used,28955 mi.,75900
2008 Porsche 911 Turbo Cabriolet,Used,25200 mi.,69900
2017 Porsche 911 Targa 4S,Used,18378 mi.,122000
2016 Porsche 911 Carrera,Porsche Certified,46006 mi.,65000
2017 Porsche 911 Carrera S,Used,6817 mi.,99995
2015 Porsche 911 GT3,Used,8000 mi.,124998
2017 Porsche 911 Turbo,Used,33092 mi.,119991
2017 Porsche 911 Carrera 4S,Porsche Certified,9176 mi.,94900
2018 Porsche 911 GT2 RS,Used,680 mi.,329900
2017 Porsche 911 Carrera,Porsche Certified,17377 mi.,77995
2019 Porsche 911 Carrera T,Porsche Certified,3249 mi.,96900
2013 Porsche 911 Carrera,Used,48000 mi.,52500
2012 Porsche 911 Turbo S,Used,30695 mi.,95995
2017 Porsche 911 Carrera 4S,Used,30559 mi.,98144
2019 Porsche 911 Carrera,Used,7977 mi.,98900
2018 Porsche 911 GT2 RS,Used,2645 mi.,415900
2012 Porsche 911 Turbo S,Used,9143 mi.,129995
2017 Porsche 911 Turbo S,Used,5590 mi.,168900
2018 Porsche 911 Carrera S,Used,7981 mi.,97970
2007 Porsche 911 Turbo,Used,12309 mi.,Not Priced
2018 Porsche 911 Carrera,Used,28125 mi.,79900
2019 Porsche 911 Turbo S,Used,4725 mi.,179997
2015 Porsche 911 GT3,Used,23025 mi.,Not Priced
2019 Porsche 911 GT3,Porsche Certified,2242 mi.,Not Priced
2015 Porsche 911 Carrera S,Used,45288 mi.,71499
2019 Porsche 911 Turbo,Used,1083 mi.,164495
2017 Porsche 911 Turbo,Used,13960 mi.,127951
2015 Porsche 911 Turbo S,Porsche Certified,14141 mi.,126995
2014 Porsche 911 Turbo S,Used,12600 mi.,126999
2011 Porsche 911,Porsche Certified,4997 mi.,269999
2018 Porsche 911 GT2 RS,Used,1635 mi.,349900
2017 Porsche 911 Carrera,Used,38607 mi.,78988
2018 Porsche 911 Carrera 4S,Used,4623 mi.,109949
2017 Porsche 911,Porsche Certified,25001 mi.,109898
2014 Porsche 911 Turbo S,Used,28962 mi.,128900
2019 Porsche 911 Carrera GTS,Used,3624 mi.,122019
2017 Porsche 911 Turbo S,Used,4251 mi.,165785
2018 Porsche 911 Turbo S,Porsche Certified,4810 mi.,194918
2015 Porsche 911 Carrera,Used,9652 mi.,96383
2018 Porsche 911 GT2 RS,Porsche Certified,1874 mi.,321940
2015 Porsche 911 GT3,Used,6142 mi.,132900
2018 Porsche 911 Turbo S,Used,7166 mi.,169989
2017 Porsche 911 Turbo,Used,23223 mi.,124590
2019 Porsche 911 Turbo,Used,1405 mi.,153777
2015 Porsche 911 Targa 4,Used,32012 mi.,76996
2017 Porsche 911 Carrera 4S,Used,10657 mi.,98988
2015 Porsche 911 GT3,Used,13108 mi.,129000
2017 Porsche 911 Carrera 4S,Used,7642 mi.,94992
2019 Porsche 911 Carrera 4S,Used,5778 mi.,110594
2017 Porsche 911 Carrera 4,Used,28359 mi.,67955
2018 Porsche 911 Carrera GTS,Porsche Certified,9103 mi.,122900
