car,condition,milage,extar_info
2015 Porsche 911 GT3,Used,14560 mi.,118950
2016 Porsche 911 Turbo,Used,11397 mi.,122955
2018 Porsche 911 GT2 RS,Used,564 mi.,334900
2015 Porsche 911 GT3,Used,23000 mi.,109500
2014 Porsche 911 GT3,Used,34500 mi.,95000
2017 Porsche 911 Carrera,Porsche Certified,14597 mi.,91998
2019 Porsche 911 Carrera 4,Used,3681 mi.,109000
2015 Porsche 911,Used,28150 mi.,115500
2017 Porsche 911 Carrera S,Used,16909 mi.,84998
2015 Porsche 911 Carrera S,Porsche Certified,24166 mi.,80000
2017 Porsche 911 Turbo S,Porsche Certified,23613 mi.,153950
2017 Porsche 911 Carrera,Used,9391 mi.,84888
2019 Porsche 911 Turbo,Used,2637 mi.,177456
2017 Porsche 911 Carrera 4S,Used,9924 mi.,110995
2018 Porsche 911 Turbo,Porsche Certified,15318 mi.,139995
2017 Porsche 911 Turbo,Used,16955 mi.,139500
2015 Porsche 911 GT3,Used,6200 mi.,123900
2019 Porsche 911,Used,6840 mi.,145912
2013 Porsche 911 Carrera S,Used,21136 mi.,73995
2018 Porsche 911 GT2 RS,Porsche Certified,1770 mi.,329900
2018 Porsche 911 Turbo S,Used,5003 mi.,157699
2017 Porsche 911 Carrera S,Porsche Certified,10501 mi.,108998
2015 Porsche 911 Turbo,Used,7656 mi.,123900
2015 Porsche 911 Carrera S,Used,9015 mi.,88590
2019 Porsche 911 Carrera S,Used,5546 mi.,109981
2013 Porsche 911 Turbo S,Used,20897 mi.,104995
2017 Porsche 911 Turbo S,Porsche Certified,2965 mi.,162000
2018 Porsche 911 Turbo,Used,5205 mi.,135455
2014 Porsche 911 Carrera,Used,19320 mi.,67000
2012 Porsche 911 Turbo,Used,25378 mi.,94888
2018 Porsche 911 Turbo S,Used,14879 mi.,158777
2015 Porsche 911 Turbo,Porsche Certified,12780 mi.,104991
2019 Porsche 911 Turbo S,Used,1838 mi.,182400
2017 Porsche 911 Carrera S,Used,26067 mi.,94951
2014 Porsche 911 Turbo S,Used,5775 mi.,119984
2018 Porsche 911 Turbo,Used,2345 mi.,158991
2015 Porsche 911 Carrera 4S,Used,16841 mi.,85950
2016 Porsche 911 Carrera S,Used,6406 mi.,86998
2018 Porsche 911 Turbo S,Porsche Certified,11561 mi.,174988
2017 Porsche 911 Turbo S,Porsche Certified,18458 mi.,157000
2015 Porsche 911 GT3,Porsche Certified,9964 mi.,126990
2017 Porsche 911 Carrera 4S,Used,25294 mi.,90000
2017 Porsche 911 Carrera S,Porsche Certified,13923 mi.,98948
2014 Porsche 911 Carrera,Used,12352 mi.,74850
2017 Porsche 911 Carrera 4S,Used,19987 mi.,95582
2018 Porsche 911 Carrera,Porsche Certified,34541 mi.,84995
2018 Porsche 911 Carrera S,Used,9735 mi.,99998
2014 Porsche 911 Turbo S,Used,37321 mi.,108880
2017 Porsche 911 Carrera,Porsche Certified,7268 mi.,84800
2013 Porsche 911 Carrera,Used,53042 mi.,Not Priced
2015 Porsche 911 GT3,Porsche Certified,19533 mi.,119984
2019 Porsche 911 GT3 Cup,Used,10 mi.,249000
2019 Porsche 911 GT3,Used,566 mi.,Not Priced
2017 Porsche 911 Carrera,Used,23579 mi.,82000
2014 Porsche 911 Turbo S,Used,22041 mi.,Not Priced
2014 Porsche 911 Carrera S,Used,34241 mi.,Not Priced
2008 Porsche 911 Carrera 4 Cabriolet,Used,86900 mi.,35000
2018 Porsche 911 Carrera,Porsche Certified,11384 mi.,87991
2019 Porsche 911 Targa 4S,Porsche Certified,405 mi.,139270
2014 Porsche 911 Turbo,Used,18248 mi.,Not Priced
2017 Porsche 911 Carrera,Used,4400 mi.,80995
2013 Porsche 911 Carrera S,Used,31205 mi.,38000
2019 Porsche 911 Turbo S,Used,322 mi.,259900
2014 Porsche 911 Turbo S,Used,35847 mi.,119900
2017 Porsche 911 Turbo,Used,29036 mi.,129999
2017 Porsche 911 Carrera S,Used,10 mi.,99990
