car,condition,milage,extar_info
2012 Porsche 911 Carrera,Used,40074 mi.,47999
2012 Porsche 911 Black Edition,Used,33351 mi.,44000
2016 Porsche 911 Carrera,Used,31000 mi.,69995
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2007 Porsche 911 Carrera S,Used,20646 mi.,44548
2015 Porsche 911 GT3,Used,11106 mi.,126500
2007 Porsche 911 Turbo,Used,106140 mi.,39995
2009 Porsche 911 Carrera Cabriolet,Used,20663 mi.,48900
2014 Porsche 911 Carrera S,Used,34688 mi.,67433
2014 Porsche 911 Carrera,Porsche Certified,27962 mi.,64490
2012 Porsche 911 Carrera 4S,Used,41019 mi.,57800
2014 Porsche 911 Turbo S,Used,29655 mi.,106990
2009 Porsche 911 Carrera S Cabriolet,Used,36118 mi.,47977
2012 Porsche 911 Black Edition,Used,42012 mi.,48418
2014 Porsche 911 Carrera 4S,Used,30465 mi.,74680
2007 Porsche 911 Carrera S,Used,72700 mi.,34988
2015 Porsche 911 Carrera S,Used,31022 mi.,66940
2012 Porsche 911 Carrera S,Used,34155 mi.,49990
2012 Porsche 911 Black Edition,Used,40689 mi.,46977
2009 Porsche 911 Carrera,Used,16587 mi.,51950
2012 Porsche 911 Carrera,Used,17081 mi.,60999
2011 Porsche 911 Carrera 4S,Used,35800 mi.,64991
2012 Porsche 911 Black Edition,Used,42233 mi.,44591
2014 Porsche 911 Carrera,Used,34042 mi.,56995
2009 Porsche 911 Turbo Cabriolet,Used,35420 mi.,62894
2015 Porsche 911 Targa 4,Used,42440 mi.,69995
2015 Porsche 911 Carrera S,Used,29400 mi.,56995
2017 Porsche 911 Carrera 4S,Used,10300 mi.,82900
2009 Porsche 911 Turbo,Used,68246 mi.,63999
2014 Porsche 911 Turbo S,Used,57588 mi.,85220
2014 Porsche 911 Carrera S,Used,36256 mi.,65999
2015 Porsche 911 Carrera,Used,28872 mi.,67900
2017 Porsche 911 Carrera S,Used,11370 mi.,87000
2015 Porsche 911 Turbo,Used,37541 mi.,97990
2014 Porsche 911 Turbo S,Used,12429 mi.,128000
2013 Porsche 911 Carrera,Used,49611 mi.,54981
2014 Porsche 911 Turbo S,Used,65987 mi.,89995
2012 Porsche 911 Carrera S,Porsche Certified,26973 mi.,64898
2013 Porsche 911 Carrera S,Used,23124 mi.,59980
2010 Porsche 911 Carrera S,Used,37884 mi.,51950
2014 Porsche 911 Carrera,Used,32322 mi.,56988
2014 Porsche 911 Carrera 4S,Used,59850 mi.,59999
2014 Porsche 911 Carrera 4S,Used,69978 mi.,58900
