car,condition,milage,extar_info
2017 Porsche 911 Turbo,Porsche Certified,7906 mi.,131499
2017 Porsche 911 Carrera,Used,25335 mi.,73995
2012 Porsche 911 Turbo S,Used,32604 mi.,93997
2015 Porsche 911 Turbo,Used,37541 mi.,97990
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2014 Porsche 911 Turbo,Used,52513 mi.,87500
2019 Porsche 911 Carrera T,Used,1596 mi.,95192
2012 Porsche 911 Turbo S,Used,3919 mi.,109950
2013 Porsche 911 Carrera 4S,Used,34369 mi.,69900
2010 Porsche 911 Carrera S,Used,64107 mi.,47995
2016 Porsche 911 Carrera S,Porsche Certified,7688 mi.,99995
2015 Porsche 911 Carrera,Used,48682 mi.,56990
2018 Porsche 911 Turbo S,Used,860 mi.,299990
2017 Porsche 911 Carrera S,Porsche Certified,30705 mi.,88939
2017 Porsche 911 Targa 4S,Used,23947 mi.,123400
2008 Porsche 911 Carrera S Cabriolet,Used,34520 mi.,37000
2017 Porsche 911 Carrera,Used,14241 mi.,79888
2010 Porsche 911 Carrera 4S,Used,32500 mi.,59999
2013 Porsche 911 Carrera 4S,Porsche Certified,28376 mi.,73998
2007 Porsche 911 Turbo,Used,7315 mi.,79500
2014 Porsche 911 Turbo S,Porsche Certified,24358 mi.,115828
2014 Porsche 911 Carrera 4S,Used,11710 mi.,79995
2014 Porsche 911 Carrera 4S,Porsche Certified,45668 mi.,73924
2018 Porsche 911 Carrera,Used,22323 mi.,84590
2014 Porsche 911 Carrera,Porsche Certified,14826 mi.,74900
2014 Porsche 911 Carrera 4,Used,24300 mi.,65000
2008 Porsche 911 Carrera 4S,Used,77524 mi.,40900
2018 Porsche 911 Turbo,Used,9579 mi.,144988
2015 Porsche 911 Targa 4S,Used,54000 mi.,87000
2018 Porsche 911 Carrera GTS,Used,6793 mi.,127489
2017 Porsche 911 Carrera S,Porsche Certified,22416 mi.,88094
2018 Porsche 911 GT3,Used,21181 mi.,134991
2016 Porsche 911 Carrera GTS,Porsche Certified,11862 mi.,98495
2014 Porsche 911 Carrera,Porsche Certified,28906 mi.,61995
2017 Porsche 911 Carrera 4S,Used,13542 mi.,97950
2019 Porsche 911 Turbo S,Used,1512 mi.,249995
2012 Porsche 911 Carrera GTS,Used,11803 mi.,74988
2014 Porsche 911 Carrera 4S,Porsche Certified,25690 mi.,81900
2012 Porsche 911 Turbo S,Used,22481 mi.,99995
2007 Porsche 911 Turbo,Used,19800 mi.,76500
2014 Porsche 911 Turbo S,Used,55669 mi.,94993
2015 Porsche 911 Carrera 4S,Used,19560 mi.,81800
