car,condition,milage,extar_info
2010 Porsche 911 Turbo,Used,13085 mi.,85900
2019 Porsche 911 Turbo S,Used,2166 mi.,159900
2012 Porsche 911 Turbo S,Used,28013 mi.,88999
2015 Porsche 911 Turbo,Used,37541 mi.,97990
2016 Porsche 911 Carrera 4,Used,54993 mi.,57850
2018 Porsche 911 Carrera S,Used,7299 mi.,93911
2012 Porsche 911 Carrera S,Used,56436 mi.,51990
2008 Porsche 911 Carrera S Cabriolet,Used,93033 mi.,29995
2008 Porsche 911 Carrera S Cabriolet,Used,50695 mi.,39995
2017 Porsche 911 Targa 4S,Used,26287 mi.,107900
2016 Porsche 911 Carrera,Used,24431 mi.,69900
2015 Porsche 911 Carrera S,Used,15157 mi.,72750
2016 Porsche 911 Carrera,Used,36422 mi.,67990
2016 Porsche 911 Carrera S,Used,12693 mi.,85000
2017 Porsche 911 Carrera S,Used,34281 mi.,85989
2010 Porsche 911 Carrera,Used,40291 mi.,41500
2013 Porsche 911 Carrera,Porsche Certified,51312 mi.,56995
2019 Porsche 911 Turbo S,Used,119 mi.,183995
2014 Porsche 911 Carrera,Used,4807 mi.,66789
2010 Porsche 911 Carrera S,Used,33302 mi.,55850
2019 Porsche 911 Carrera GTS,Used,32477 mi.,98949
2017 Porsche 911 Carrera S,Used,8508 mi.,90399
2018 Porsche 911 Carrera,Used,22323 mi.,84590
2013 Porsche 911 Carrera 4S,Used,23556 mi.,74995
2016 Porsche 911 Carrera S,Used,17130 mi.,89980
2019 Porsche 911 Carrera 4 GTS,Used,1255 mi.,129900
2016 Porsche 911 Carrera GTS,Used,20187 mi.,85904
2014 Porsche 911 Carrera S,Used,6118 mi.,78800
2012 Porsche 911 Turbo S,Used,114910 mi.,61900
2013 Porsche 911 Carrera 4,Used,53500 mi.,52500
2016 Porsche 911 Carrera,Used,9482 mi.,69988
2012 Porsche 911 Carrera S,Used,20412 mi.,67994
2012 Porsche 911 Carrera S,Used,13522 mi.,72000
2011 Porsche 911 Turbo S,Porsche Certified,11130 mi.,97981
2009 Porsche 911 Turbo,Used,35106 mi.,69900
2015 Porsche 911 Targa 4S,Porsche Certified,17489 mi.,93995
2017 Porsche 911 Carrera 4S,Used,36000 mi.,84900
2016 Porsche 911 Targa 4S,Porsche Certified,11667 mi.,107470
2018 Porsche 911 Carrera,Used,15050 mi.,79991
2016 Porsche 911 Carrera GTS,Used,17000 mi.,97700
2012 Porsche 911 Carrera S,Used,72047 mi.,49900
2012 Porsche 911 991 Carrera S,Used,34445 mi.,64035
2012 Porsche 911 Carrera 4 GTS,Used,31501 mi.,69800
2017 Porsche 911 Carrera S,Porsche Certified,15235 mi.,91888
2019 Porsche 911 Carrera S,Porsche Certified,2836 mi.,107498
2017 Porsche 911 Carrera,Used,9421 mi.,79950
2019 Porsche 911 Carrera,Used,6321 mi.,96984
2017 Porsche 911 Carrera,Porsche Certified,22011 mi.,74995
2018 Porsche 911 Carrera,Porsche Certified,1332 mi.,86839
2017 Porsche 911 Carrera 4S,Used,33853 mi.,91500
2008 Porsche 911 Turbo Cabriolet,Used,73301 mi.,56950
2007 Porsche 911 Turbo,Used,29253 mi.,69800
2016 Porsche 911 Carrera,Used,18485 mi.,71875
2015 Porsche 911 Carrera 4S,Used,31017 mi.,79900
2007 Porsche 911 Carrera S Cabriolet,Used,86000 mi.,28888
2015 Porsche 911 Turbo S,Used,17312 mi.,129900
2018 Porsche 911 Carrera GTS,Used,7291 mi.,119995
